Year,FisheriesGuild,variable,value
2014,benthic,guildRate,0.22050178893223
2014,demersal,guildRate,0.178483879824286
2014,pelagic,guildRate,0
2015,benthic,guildRate,0.244679703986674
2015,demersal,guildRate,0.123915476268843
2015,pelagic,guildRate,0
2016,benthic,guildRate,0.201080436295699
2016,demersal,guildRate,0.106184785569623
2016,pelagic,guildRate,0
2017,benthic,guildRate,0.270724892835273
2017,demersal,guildRate,0.09287187419438
2017,pelagic,guildRate,0
2018,benthic,guildRate,0.252453873120226
2018,demersal,guildRate,0.126719576719577
2018,pelagic,guildRate,0
